granule,start,end,cloud_cover,size_mb,download_nc
EMIT_L2B_MIN_001_20220831T043446_2224303_008,2022-08-31T04:34:46.000Z,2022-08-31T04:34:58.000Z,0,85.7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20220831T043446_2224303_008/EMIT_L2B_MIN_001_20220831T043446_2224303_008.nc
EMIT_L2B_MIN_001_20230127T085017_2302706_008,2023-01-27T08:50:17.000Z,2023-01-27T08:50:29.000Z,0,99.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230127T085017_2302706_008/EMIT_L2B_MIN_001_20230127T085017_2302706_008.nc
EMIT_L2B_MIN_001_20230127T085029_2302706_009,2023-01-27T08:50:29.000Z,2023-01-27T08:50:41.000Z,0,103.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230127T085029_2302706_009/EMIT_L2B_MIN_001_20230127T085029_2302706_009.nc
EMIT_L2B_MIN_001_20230127T085041_2302706_010,2023-01-27T08:50:41.000Z,2023-01-27T08:50:53.000Z,0,93.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230127T085041_2302706_010/EMIT_L2B_MIN_001_20230127T085041_2302706_010.nc
EMIT_L2B_MIN_001_20230128T080223_2302806_011,2023-01-28T08:02:23.000Z,2023-01-28T08:02:34.000Z,0,78.0,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230128T080223_2302806_011/EMIT_L2B_MIN_001_20230128T080223_2302806_011.nc
EMIT_L2B_MIN_001_20230128T080234_2302806_012,2023-01-28T08:02:34.000Z,2023-01-28T08:02:46.000Z,0,75.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230128T080234_2302806_012/EMIT_L2B_MIN_001_20230128T080234_2302806_012.nc
EMIT_L2B_MIN_001_20230204T053531_2303504_002,2023-02-04T05:35:31.000Z,2023-02-04T05:35:43.000Z,0,94.4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230204T053531_2303504_002/EMIT_L2B_MIN_001_20230204T053531_2303504_002.nc
EMIT_L2B_MIN_001_20230215T094618_2304606_016,2023-02-15T09:46:18.000Z,2023-02-15T09:46:30.000Z,0,86.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230215T094618_2304606_016/EMIT_L2B_MIN_001_20230215T094618_2304606_016.nc
EMIT_L2B_MIN_001_20230215T094642_2304606_018,2023-02-15T09:46:42.000Z,2023-02-15T09:46:53.000Z,0,95.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230215T094642_2304606_018/EMIT_L2B_MIN_001_20230215T094642_2304606_018.nc
EMIT_L2B_MIN_001_20230215T094705_2304606_020,2023-02-15T09:47:05.000Z,2023-02-15T09:47:17.000Z,0,83.7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230215T094705_2304606_020/EMIT_L2B_MIN_001_20230215T094705_2304606_020.nc
EMIT_L2B_MIN_001_20230218T085814_2304906_041,2023-02-18T08:58:14.000Z,2023-02-18T08:58:26.000Z,0,87.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230218T085814_2304906_041/EMIT_L2B_MIN_001_20230218T085814_2304906_041.nc
EMIT_L2B_MIN_001_20230223T063442_2305404_029,2023-02-23T06:34:42.000Z,2023-02-23T06:34:54.000Z,0,87.5,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230223T063442_2305404_029/EMIT_L2B_MIN_001_20230223T063442_2305404_029.nc
EMIT_L2B_MIN_001_20230302T041336_2306103_007,2023-03-02T04:13:36.000Z,2023-03-02T04:13:48.000Z,0,98.0,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230302T041336_2306103_007/EMIT_L2B_MIN_001_20230302T041336_2306103_007.nc
EMIT_L2B_MIN_001_20230404T055003_2309404_003,2023-04-04T05:50:03.000Z,2023-04-04T05:50:15.000Z,0,98.6,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230404T055003_2309404_003/EMIT_L2B_MIN_001_20230404T055003_2309404_003.nc
EMIT_L2B_MIN_001_20230407T050436_2309704_013,2023-04-07T05:04:36.000Z,2023-04-07T05:04:48.000Z,0,88.4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230407T050436_2309704_013/EMIT_L2B_MIN_001_20230407T050436_2309704_013.nc
EMIT_L2B_MIN_001_20230417T100419_2310707_040,2023-04-17T10:04:19.000Z,2023-04-17T10:04:31.000Z,0,95.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230417T100419_2310707_040/EMIT_L2B_MIN_001_20230417T100419_2310707_040.nc
EMIT_L2B_MIN_001_20230429T051220_2311903_028,2023-04-29T05:12:20.000Z,2023-04-29T05:12:32.000Z,0,96.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230429T051220_2311903_028/EMIT_L2B_MIN_001_20230429T051220_2311903_028.nc
EMIT_L2B_MIN_001_20230531T071422_2315105_005,2023-05-31T07:14:22.000Z,2023-05-31T07:14:34.000Z,0,100.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230531T071422_2315105_005/EMIT_L2B_MIN_001_20230531T071422_2315105_005.nc
EMIT_L2B_MIN_001_20230531T071434_2315105_006,2023-05-31T07:14:34.000Z,2023-05-31T07:14:45.000Z,0,108.7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230531T071434_2315105_006/EMIT_L2B_MIN_001_20230531T071434_2315105_006.nc
