dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10021426,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10021426,DE00092,,Kolihan Mine,26.58476,73.84918,AS,India,Rajasthan,,M,Copper,,,Unknown,,Y,Producer,,,,,,,,,,,"Beougher, Dee (Spanski, Gregory T.)",,,,,,,"MINING MAGAZINE, JANUARY 1989, P. 50",,,,,,,,,D
10021439,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10021439,DE00109,,Maton Mine,26.58476,73.84918,AS,India,Rajasthan,,N,Phosphorus-Phosphates,,,Unknown,,Y,Producer,,,,,,,,,,,"Beougher, Dee (Spanski, Gregory T.)",,,,,,,"MINING MAGAZINE, JANUARY 1989, P. 50",,,,,,,,,D
10021441,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10021441,DE00111,,Balaria Mine,26.58476,73.84918,AS,India,Rajasthan,,M,"Lead, Zinc",,,Unknown,,Y,Producer,,,,,,,,,,,"Beougher, Dee (Spanski, Gregory T.)",,,,,,,"MINING MAGAZINE, JANUARY 1989, P. 50",,,,,,,,,D
10021666,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10021666,DE00355,,Degana Deposit,26.93239,74.33384,AS,India,Rajasthan,,M,Tungsten,,,Unknown,,Y,Producer,,,,,,,,,"Rewat Rawat Hills, Rajasthan Tungsten",,"Pasitschniak, Anna",Malani Group;Delhi Supergroup,"Phyllite,Granite",,,Quartz Veins Cutting Granite And Phyllite,Precambrian Craton (Intracratonic),"INDIAN BUREAU OF MINES, 1984, TUNGSTEN, INDIAN MINERALS YEARBOOK 1981, DELHI CONTROLLER OF PUBLICATIONS, P. 899.ROSKILL INFORMATION SERVICES LTD., 1977, THE ECONOMICS OF TUNGSTEN: THIRD EDITION, LONDON, ROSKILL INFORMATION SERVICES LTD., P. 142-143.BUNDESANSTALT FUR GEOWISSENSCHAFTEN UND ROHSTOFFE, HANNOVER, 1979, ROHSTOFFEWIRTSCHAFTLICHE UND LANDERBERICHTE: XX, INDIEN, P. 98-100.MUKHOPADHYAY, A.K., 1982, TUNGSTEN MINERALIZATION IN INDIA, IN J.V. HEPWORTH AND H.Z. YU (EDS.), TUNGSTEN GEOLOGY, CHINA, ESCAP/AMRDC, BANDUNG, INDONESIA, P. 159-163.DEKATE, Y.G., 1967, TUNGSTEN OCCURRENCES IN INDIA AND THEIR GENESIS, ECONOMIC GEOLOGY, VOL. 62, NO. 4, P. 556-561.DUTTA, R.K. AND BHATTACHERYYA, J.,FERROTUNGSTEN AND TUNGSTEN POWDER FROM INDIAN WOLFRAMITE CONCENTRATE, JOURNAL OF MINES, METALS & FUELS, VOL. XVI, NO. 10, OCTOBER 1968, P. 373-375.KINNEY, G.L., 1986, THE MINERAL INDUSTRY OF INDIA, PREPRINT FROM THE 1984 BUREAU OF MINES MINERALS YEARBOOK, P. 16.E&MJ INTERNATIONAL DIRECTORY:  MINING ACTIVITY DIGEST, 1986, VOL. 12, NO. 10, MARCH 21, 1986, P. 15.ANNUAL:  INDIAN BUREAU OF MINES, 1984.  CUMM: INDIAN BUREAU OF MINES, MINERALS YEARBOOK.",,1966,,,,1915,,,B
10069474,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069474,W007015,,Mando - Ki - Pol Fluorspar Deposit,23.83265,73.71719,AS,India,Rajasthan,,N,Fluorine-Fluorite,,,Unknown,Hydrothermal Vein,Y,Producer,Fluorite,,,,,,,,,,"Schruben, Paul G.",,,,,,,"SWEETWOOD, C., 1973, STATE DEPARTMENT COMMUNICATION A-191, JUNE 1973, NEW DELHI, P. 50-52.1973, MINING ANNUAL REVIEW, P. 109.SWEETWOOD, C., 1973, ST. DEP. COMM. P. 51.              1973, MINING ANN. REV. P. 109SWEETWOOD, C., 1973, STATE DEPT. COMM. P. 50",,1972,,,,,,,C
10073036,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10073036,W018839,,Deri,24.88256,72.86721,AS,India,Rajasthan,,M,"Zinc, Lead",,,Unknown,,N,Occurrence,,,,,,,,,,,"Schruben, Paul G.",,,,,,,U.S. STATE DEPT. AIRGRAN A - 344 NEW DELHI 5-21-76 P. 1,,,,,,,,,D
10073074,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10073074,W018884,,Ambamata Pb - Zn,24.33261,72.88387,AS,India,Gujarat,,M,"Lead, Zinc, Copper",,,Unknown,,S,Producer,,,,,,,,,Ambaji,,"Schruben, Paul G.",,,,,,,"SHAFER, F. E., 1976, U. S. STATE DEPT. AIRGRAM A-344, NEW DELHI, 5-21-76 P. 12-20.STAFF, 1976, ENGINEERING AND MINING JOURNAL, 3-76, P. 273ENGINEERING AND MINING JOUR. 3-76, P. 273",,,,,,,,,C
10073075,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10073075,W018885,,Rajpura - Dariba Zn - Pb - Ag - Cu - Cd,24.74924,74.18384,AS,India,Rajasthan,,M,"Lead, Zinc, Silver","Copper, Cadmium","Molybdenum, Gallium, Arsenic",Unknown,,S,Producer,"Bornite, Chalcopyrite, Covellite, Cubanite, Galena, Sphalerite, Zincite","Barite, Chert, Dolomite, Enargite, Fluorite",,LINEAR,,,,Pervasive Oxidation Of Upper Part Of Fault Zone,,,"Schruben, Paul G.","Graphitic Phyllite, Chert, Dolomite","Phyllite,Dolomite,Chert",,,Dariba - Rajpura Fault Zone. On West Limb Of A Ne Plunging Macrosyncline.,,"RAJA, C. S. ET AL, 1972, DARIBA - RAJPURA - BETHUMNI BELT OF ZINC - LEAD - COPPER MINERALIZATION, UDAIPUR DIST., RAJASTHAN; GEOL. SURV. INDIA MISC. PUB. NO. 16 P. 617 - 626.SHAFER, F. E., 1976, U. S. DEPT. OF STATE AIRGRAM A-344; NEW DELHI 5-21-76 P. 12 - 20RAJA, C. S. ET AL, 1972, GEOL. SURV. INDIA MISC. PUBL. NO. 16 P. 617 - 626SHAFER, F. E., 1976, U.S. DEPT. OF STATE AIRGRAM A-344 P. 13",<,1934,,,<,,,,B
10073077,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10073077,W018887,,Zawar Group Pb-Zn Mines,24.36594,73.71719,AS,India,Rajasthan,,M,"Zinc, Lead",,,Unknown,,L,Producer,"Argentite, Chalcopyrite, Galena, Pyrite, Pyrrhotite, Silver, Sphalerite","Dolomite, Gypsum, Quartz",,VEIN,,,Recrystallization Of Wall Rock,,"Mochia Magra, Balaria, Zawar Mala, Baroi",Ore Solutions Ascended Along 2 Cross-Faults And Mineralized A Shear Zone,"Schruben, Paul G.",Dolomite,Dolomite,,,"Major Folding, E - W Trending Shear Zone",,"MOOKHERJEE, ASOKE, 1964, THE GEOLOGY OF THE ZAWAR LEAD - ZINC MINE, RAJASTHAN, INDIA; ECON. GEOL. V. 59, P. 656 - 677SHAFER, F. E., 1976, U.S. DEPT. OF STATE AIRGRAM A-344; NEW DELHI, 5-21-76 P. 12 - 20SHAFER, F. E., 1976 DEPT OF STATE AIRGRAM A-344 P. 14SHAFER, F. E., 1976, DEPT. OF STATE AIRGRAM A-344 P. 13",,1318,,,,,,,B
10081078,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10081078,W032777,,Khetri,27.68233,75.51715,AS,India,Rajasthan,,M,Copper,,,Unknown,Replacement,L,Past Producer,"Bornite, Chalcopyrite, Copper, Malachite","Andalusite, Phyllite",,LENS-IRREGULAR,,,,,Khetri Copper Complex,Fractures And Shear Zones,"Gassaway, Judith S.","Alwar Series, Quartzite;Ajabgarh Series, Schist And Phyllite",Schist,,,Nw Trending Doubly Plunging Folds,,"CHOWDHURY, M.K.R., AND GUPTA, SP.D. 1965, ORE-LOCATION IN THE KHETRI COPPER BELT, RAJASTHAN, INDIA: ECON. GEOL., V. 60, P. 6988E/MJ 1978; MM 1980; WAR MINERALS REPORT 1976-1977",,,,,,,,,C
10084846,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10084846,W700060,,Jhamarkotra,24.58259,73.51719,AS,India,Rajasthan,,N,Phosphorus-Phosphates,,,Unknown,,Y,Producer,Apatite,"Chlorite, Epidote, Muscovite, Quartz, Tremolite",,BEDDED,,"243: Phosphate, upwelling type",Greenschist-Level Metamorphism,,Jhamar-Kotra,,"Orris, Greta J.",Jhamarkotra Formation;Aravalli Supergroup,"Limestone,Dolomite",,,,,"KRAUSS AND OTHERS, 1984, INTERNATIONAL STRATEGIC MINERALS INVENTORY SUMMARY REPORT--PHOSPHATE:  U.S. GEOLOGICAL SURVEY CIRCULAR 930-C, 41 P.MINING MAGAZINE, 1987, JANUARY, P. 63.CHAUCHAN, D.S., AND SISODIA, M.S., 1984, NATURE OF UDAIPUR PHOSPHORITE AND ITS GENETIC IMPLICATIONS:  GEOLOGICAL SURVEY OF INDIA SPECIAL PUBLICATION 17, P. 79-104.PANDYA, M.K., SRIVASTAVA, S.B.L., AND DWIVEDI, C.S., 1984, PETROGRAPHY AND GEOCHEMISTRY OF THE JHAMARKOTRA PHOSPHORITE DEPOSIT, UDAIPUR, RAJASTHAN, IN PHOSPHORITE:  GEOLOGICAL SURVEY OF INDIA SPECIAL PUBLICATION 17, P. 111-127.KRAUSS AND OTHERS, 1984, FOR THE 1977 ESTIMATES.  THE 1984 ESTIMATE IS FROM CHAUCHAN AND SISODIA, 1984.",,,,,,,,,B
10106690,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10106690,DE00112,,Mochia Mine,26.58476,73.84918,AS,India,Rajasthan,,M,"Lead, Zinc",,,Unknown,,Y,Producer,,,,,,,,,,,"Beougher, Dee (Spanski, Gregory T.)",,,,,,,"MINING MAGAZINE, JANUARY 1989, P. 50",,,,,,,,,D
10106685,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10106685,DE00090,,Chandmari Mine,26.58476,73.84918,AS,India,Rajasthan,,M,Copper,,,Unknown,,Y,Producer,,,,,,,,,,,"Beougher, Dee (Spanski, Gregory T.)",,,,,,,"MINING MAGAZINE, JANUARY 1989, P. 50",,,,,,,,,D
